,config,perf
0,"(""['group0', 'group2']"", 0)","(0.18947466400000001, 5.288011219795832)"
1,"(""['group0', 'group2']"", 1)","(0.18947466400000001, 5.364502006538843)"
2,"(""['group0', 'group2']"", 2)","(0.18987321000000001, 5.424616320439613)"
3,"(""['group0', 'group2']"", 3)","(0.18987321000000001, 5.443397519662315)"
4,"(""['group0', 'group2']"", 4)","(0.18987321000000001, 5.508670628633413)"
5,"(""['group2', 'group0']"", 5)","(1.202712137, 0.8401134426129263)"
6,"(""['group2', 'group0']"", 6)","(1.202712137, 0.8407160601044112)"
7,"(""['group2', 'group0']"", 7)","(1.200884489, 0.8448804008198723)"
8,"(""['group2', 'group0']"", 8)","(1.1490418930000001, 0.886692041613136)"
9,"(""['group2', 'group0']"", 9)","(1.097199297, 0.9328575145882595)"
10,"(""['group2', 'group0']"", 10)","(1.001616278, 1.0284006226129583)"
11,"(""['group2', 'group0']"", 11)","(1.001616278, 1.0305629884332634)"
12,"(""['group2', 'group0']"", 12)","(0.949773682, 1.0990464469822596)"
13,"(""['group2', 'group0']"", 13)","(0.897931086, 1.1772795861951741)"
14,"(""['group2', 'group0']"", 14)","(0.8460884900000001, 1.2675039955542067)"
15,"(""['group2', 'group0']"", 15)","(0.794245894, 1.3727054625965094)"
16,"(""['group2', 'group0']"", 16)","(0.742403298, 1.4969507644345987)"
17,"(""['group2', 'group0']"", 17)","(0.646820279, 1.7644982784388883)"
18,"(""['group2', 'group0']"", 18)","(0.646820279, 1.7734279915693107)"
19,"(""['group2', 'group0']"", 19)","(0.5949776830000001, 1.9937227719054265)"
20,"(""['group2', 'group0']"", 20)","(0.543135087, 2.276510311899685)"
21,"(""['group2', 'group0']"", 21)","(0.49129249100000005, 2.652777477872159)"
22,"(""['group2', 'group0']"", 22)","(0.395709472, 3.641080021342034)"
23,"(""['group2', 'group0']"", 23)","(0.395709472, 3.693284072127831)"
24,"(""['group2', 'group0']"", 24)","(0.34386687600000004, 5.000307616971351)"
25,"(""['group2', 'group0']"", 25)","(0.29202428, 6.0993706359525035)"
26,"(""['group2', 'group0']"", 26)","(0.242348363, 5.62012368655236)"
27,"(""['group1']"", 0)","(0.190541709, 5.248194766637681)"
