,op_id,op_type,suc,MACA,CV_DSP
0,node0,Conv,['node1'],193945,766062
2,node1,Relu,['node2'],176655,176655
3,node2,MaxPool,['node3'],31455,1013391
4,node3,LRN,['node4'],300,300
5,node4,Conv,['node5'],132529,680028
6,node5,Relu,['node6'],157539,157539
7,node6,Conv,['node7'],176656,726883
8,node7,Relu,['node8'],284877,284877
9,node8,LRN,['node9'],300,300
10,node9,MaxPool,"['node10', 'node12', 'node16', 'node20']",180037,703243
11,node10,Conv,['node11'],85148,637983
12,node12,Conv,['node13'],89334,4054850
13,node16,Conv,['node17'],85070,1179940
14,node20,MaxPool,['node21'],94653,253913
15,node11,Relu,['node23'],144631,144631
16,node13,Relu,['node14'],150469,150469
17,node17,Relu,['node18'],141821,141821
18,node21,Conv,['node22'],85161,1634975
19,node14,Conv,['node15'],145139,6652396
20,node18,Conv,['node19'],138138,691262
21,node22,Relu,['node23'],142806,142806
22,node15,Relu,['node23'],156941,156941
23,node19,Relu,['node23'],142806,142806
24,node23,Concat,"[]",133970,133970
