,op_id,dispatch
0,1,CPU_B
1,2,CPU_B
2,3,CPU_B
3,4,CPU_B
4,5,CPU_B
5,6,CPU_B
6,7,CPU_B
7,9,CPU_S
8,11,CPU_B
9,12,CPU_B
10,8,CPU_S
11,13,CPU_B
12,14,CPU_S
13,10,CPU_B
14,15,CPU_S
15,16,CPU_B
16,18,CPU_S
17,20,CPU_B
18,21,CPU_B
19,17,CPU_S
20,23,CPU_B
21,19,CPU_B
22,24,CPU_S
23,22,CPU_B
24,25,CPU_B
25,27,CPU_B
26,32,CPU_S
27,29,CPU_B
28,28,CPU_B
29,33,CPU_S
30,26,CPU_S
31,30,CPU_B
32,31,CPU_B
33,34,CPU_B
34,35,CPU_B
35,36,CPU_S
36,37,CPU_S
37,39,CPU_S
38,38,CPU_S
39,40,CPU_B
40,42,CPU_B
41,50,CPU_S
42,45,CPU_B
43,51,CPU_S
44,43,CPU_B
45,46,CPU_B
46,47,CPU_B
47,48,CPU_B
48,41,CPU_S
49,49,CPU_B
50,44,CPU_B
51,52,CPU_B
52,54,CPU_S
53,62,CPU_B
54,57,CPU_B
55,58,CPU_B
56,63,CPU_S
57,59,CPU_B
58,55,CPU_B
59,56,CPU_B
60,53,CPU_S
61,60,CPU_B
62,61,CPU_B
63,64,CPU_B
64,74,CPU_B
65,69,CPU_B
66,75,CPU_S
67,70,CPU_B
68,71,CPU_B
69,66,CPU_S
70,72,CPU_B
71,67,CPU_B
72,65,CPU_S
73,73,CPU_B
74,68,CPU_B
75,76,CPU_B
76,78,CPU_S
77,81,CPU_B
78,82,CPU_B
79,77,CPU_S
80,83,CPU_B
81,79,CPU_B
82,86,CPU_S
83,84,CPU_B
84,87,CPU_S
85,80,CPU_B
86,85,CPU_B
87,88,CPU_B
88,91,CPU_B
89,89,CPU_B
90,90,CPU_S
91,92,CPU_B
92,93,CPU_B
93,94,CPU_B
94,95,CPU_S
95,96,CPU_B
96,98,CPU_S
97,102,CPU_B
98,103,CPU_B
99,107,CPU_S
100,108,CPU_S
101,100,CPU_B
102,99,CPU_B
103,97,CPU_S
104,105,CPU_B
105,104,CPU_B
106,101,CPU_S
107,106,CPU_B
108,109,CPU_B
109,111,CPU_B
110,120,CPU_S
111,121,CPU_S
112,112,CPU_B
113,115,CPU_B
114,113,CPU_B
115,116,CPU_B
116,114,CPU_S
117,110,CPU_S
118,118,CPU_B
119,117,CPU_B
120,119,CPU_B
121,122,CPU_B
122,123,CPU_B
123,124,CPU_B
124,125,CPU_B
125,126,CPU_B
