,group_id,graph_id,time
0,group0,27,574487
1,group0,26,1109825
2,group0,25,275302
3,group0,24,2949419
4,group0,23,568560
5,group0,22,2412502
6,group0,21,2174906
7,group0,20,1501739
8,group0,19,68079100
9,group0,18,604879
10,group0,17,4024073
11,group0,16,2048293
12,group0,15,8654965
13,group0,14,8654965
14,group0,13,8654965
15,group0,12,8654965
16,group0,11,8654965
17,group0,10,5730671
18,group0,9,2864854
19,group0,8,10503862
20,group0,7,10503862
21,group0,6,10503862
22,group0,5,6763007
23,group0,4,3897275
24,group0,3,19005683
25,group0,2,19005683
26,group0,1,14230319
27,group0,0,14330470
28,group1,27,574487
29,group1,26,1109825
30,group1,25,275302
31,group1,24,2949419
32,group1,23,568560
33,group1,22,2412502
34,group1,21,2174906
35,group1,20,1501739
36,group1,19,68079100
37,group1,18,604879
38,group1,17,4024073
39,group1,16,2048293
40,group1,15,8654965
41,group1,14,8654965
42,group1,13,8654965
43,group1,12,8654965
44,group1,11,8654965
45,group1,10,5730671
46,group1,9,2864854
47,group1,8,10503862
48,group1,7,10503862
49,group1,6,10503862
50,group1,5,6763007
51,group1,4,3897275
52,group1,3,19005683
53,group1,2,19005683
54,group1,1,14230319
55,group1,0,14330470
56,group2,27,574487
57,group2,26,1109825
58,group2,25,275302
59,group2,24,2949419
60,group2,23,568560
61,group2,22,2412502
62,group2,21,2174906
63,group2,20,7582002
64,group2,19,180660506
65,group2,18,604879
66,group2,17,99607092
67,group2,16,2048293
68,group2,15,60497561
69,group2,14,60497561
70,group2,13,60497561
71,group2,12,60497561
72,group2,11,60497561
73,group2,10,101313690
74,group2,9,2864854
75,group2,8,62346458
76,group2,7,62346458
77,group2,6,62346458
78,group2,5,102346026
79,group2,4,3897275
80,group2,3,70848279
81,group2,2,70848279
82,group2,1,63906236
83,group2,0,67204169
